question,short_answ,long_answ,explanation
granite vs tile countertops cost,"['The granite tile installation costs can be as low as $50, though up to $75 is fairly common too.The material costs less because the tiles can be produced from smaller pieces of granite. The actual cost of installation is about the same with slab and granite tile.']",['The granite tile installation costs can be as low as $50.'],"1 Ceramic tile countertops cost $1-$225 per square foot; that is, $30-$6,750 for a typical kitchen with 30 square feet of counter space. 2  Installation is not typically included in the price of ceramic or porcelain tiles. 3  Most glazed ceramic tile costs $1-$30 per square foot, that is $30-$900 for a typical kitchen. Professional installation of a tile countertop costs about $35-$40 per square foot, making it $1,050-$1,200 for a typical kitchen, including materials and labor, using inexpensive glazed ceramic tiles."
can you have measles more than once,['Yes'],"['Yes, you have measles more than once.']","· just now. Report Abuse. No you can not, once you have measles your body creates an immunity to the virus. Also Shingles is not caused by the measles virus, it is a separate disease caused by a different virus called varicella zoster virus (VZV) which is responsible for chicken pox.eport Abuse. Yes you can get them more than once,you should pay particular attention to your wedding tackle. As measles can make you sterile.If you get them later on in life, they are known as shingles and they are more irritating."
a procedure in which a balloon is placed into a blocked coronary artery and expanded to allow better blood flow is,['Balloon angioplasty'],['Balloon angioplasty is a procedure in which a balloon is placed into a blocked coronary artery and expanded to allow better blood flow.'],"They include: 1  Balloon angioplasty. 2  During this procedure, a specially designed catheter with a small balloon tip is guided to the point of narrowing in the artery. 3  Once in place, the balloon is inflated to compress plaque against the artery wall and stretch the artery open to increase blood flow to the heart. 4  Stent."
how did jackie robinson make the world a better place,['Robinson broke the baseball color line when he debuted with the Brooklyn Dodgers in 1947. He was the first black man to openly play in the major leagues since the 1880s. He had a big role in bringing an end to racial segregation in professional baseball.'],"['To make the world a better place, Jackie Robinson broke the baseball color line when he debuted with the Brooklyn Dodgers in 1947. He was the first black man to openly play in the major leagues since the 1880s. He had a big role in bringing an end to racial segregation in professional baseball.']","How Jackie Robinson Changed History. Jackie Robinson changed history in more ways than one. Most people know him best for breaking the color barrier in 1947, being the first African-American to play baseball in the major leagues, and opening up the door for many other African-Americans athletes."
did any player in the nba win more than 3 mvps in a row,['Bill Russell'],"['Yes, Bill Russell is the player in the National Basketball Association win more than 3 Microsoft Most Valuable Professional in a row.']","Tim Duncan has won more playoff games in his career (129) than 20 of the other 29 current NBA franchises. With three NBA Finals MVPs (1999, 2003 and 2005.), Duncan is one of four players to win the award three-or-more times, joining Michael Jordan (six), Magic Johnson (three) and Shaquille O'Neal (three)."
cold symptoms vs flu symptoms,"['Flu symptoms: 1 dry, hacking cough. 2 moderate-to-high fever (although not everyone with the flu will run a fever). 3 sore throat. 4 shaking chills. 5 severe muscle or body aches. 6 headache. 7 stuffy and runny nose and cold symptoms: 1 runny or stuffy nose. 2 sore throat. 3 sneezing. 4 mild-to-moderate fever. 5 cough. 6 headache or body aches. 7 mild tiredness.', 'Cold symptoms typically begin with a sore throat that may be mild or severe. Flu Symptoms of the flu generally begin more suddenly than those of a cold and they are more severe.']","['A cold usually comes on slowly, starting with a runny or stuffy nose, sneezing, and a sore throat while the flu often comes on quickly with extreme tiredness, fever, body aches, and a cough.']","Cold symptoms typically begin with a sore throat that may be mild or severe. After a day or two, the sore throat improves and nasal symptoms, such as congestion or a runny nose, appear. Nasal secretions begin as a thin and watery discharge, then develop into a thicker and darker discharge several days into the illness."
can a real estate agent take a fee from anyone other than their principal broker,['No'],"['No, a real estate agent cannot take a fee from anyone other than their principal broker.']","A: No. Listing agreements are private contracts between the property owner and the real estate broker, not the sales agent. You can ask the original broker to release you from the agreement or contact a private attorney to advise you if you can terminate the listing agreement in some other fashion.: No. A buyer representation agreement is a private contract between a real estate broker and a buyer and is not promulgated or regulated by TREC. You should consult with a private attorney. The Texas Association of Realtors (TAR) provides certain forms to its members."
do electromagnetic waves travel faster through a vacuum?,['No'],"['No, electromagnetic waves do not travel faster through a vacuum.']","Propagation of an Electromagnetic Wave. Electromagnetic waves are waves which can travel through the vacuum of outer space. Mechanical waves, unlike electromagnetic waves, require the presence of a material medium in order to transport their energy from one location to another."
how much does it cost to adopt an animals rather than buying,['Buying a pet can easily cost $500 to $1000 or more; adoption costs range from $50 to $200.'],['Buying a pet can easily cost $500 to $1000 or more; adoption costs range from $50 to $200.'],Adopting a pet from an animal shelter is much less expensive than buying a pet at a pet store or through other sources. Buying a pet can easily cost $500 to $1000 or more; adoption costs range from $50 to $200.
how much do solid surface countertops cost,"['Average of $14.50 per linear foot.', '$74.55']","['On average, solid surface countertops cost $14.50 per linear foot.']","The average maximum cost per finished square foot of Wilsonart solid surface countertops is $74.55. In addition to the cost of the solid surface sheets that become the countertop, homeowners will also need to pay for edging pieces. These cost an average of $14.50 per linear foot."
do journalists on itv earn more than on the bbc,['No'],"['No, Independent Television journalists do not earn more than the British Broadcasting Corporation journalists.']","Former TV-am host Nick Owen has claimed viewers are put off watching ITV's breakfast shows because of the high salaries paid to big-name presenters. It comes as former BBC Breakfast host Susanna Reid prepares to front new show Good Morning Britain from next week, in a deal reported to be worth £1 million."
hispanic vs black population us,"['12.3% of the U.S. population is black, and 12.5% is Hispanic.']","['12.3% of the United States population are black, and 12.5% are Hispanic.']","According to the U.S. Census Bureau, 12.3% of the U.S. population is black, and 12.5% is Hispanic. Gallup Poll results from March 26-28, however, show that slightly less than one in 10 Americans can accurately identify that the population of either blacks or Hispanics in this country falls between 10% and 14%.mericans earning less than $20,000 estimate the black percentage of the U.S. population to be 42%, and the Hispanic percentage to comprise 37%."
cost of h&r block vs turbotax,"['TurboTax and H&R Block both offer a free federal edition. TurboTax also offers free state filing, while H&R Block costs $9.99 per state filed. H&R Block’s Deluxe version is cheaper than TurboTax’s, at $29.99 and $34.99, respectively.Both charge $36.99 per state for Deluxe filers.Additionally, H&R Block’s Premium version is only $49.99 and $36.99 for each state, whereas TurboTax’s Premier version rings in at $54.99, and an additional $36.99 per state.']","['TurboTax and H&R Block both offer a free federal edition. TurboTax also offers free state filing, while H&R Block costs $9.99 per state filed. H&R Block’s Deluxe version is cheaper than TurboTax’s, at $29.99 and $34.99, respectively.Both charge $36.99 per state for Deluxe filers.Additionally, H&R Block’s Premium version is only $49.99 and $36.99 for each state, whereas TurboTax’s Premier version rings in at $54.99, and an additional $36.99 per state.']","In terms of price, TurboTax and H&R Block both offer a free federal edition. TurboTax also offers free state filing, while H&R Block costs $9.99 per state filed. H&R Block’s Deluxe version is cheaper than TurboTax’s, at $29.99 and $34.99, respectively.Both charge $36.99 per state for Deluxe filers.Additionally, H&R Block’s Premium version is only $49.99 and $36.99 for each state, whereas TurboTax’s Premier version rings in at $54.99, and an additional $36.99 per state.&R Block’s Deluxe version is cheaper than TurboTax’s, at $29.99 and $34.99, respectively. Both charge $36.99 per state for Deluxe filers."
changing from a liquid to a solid is called,['Freezing'],['Changing from a liquid to a solid is called freezing.'],"Rating Newest Oldest. Best Answer: 1. in most pure substances, melting occurs at a specific Temperature called the melting point. 2. the change of state from liquid to solid is called freezing (solidification) 3. the change from a liquid to gas is called Condensation.. the chane of state from liquid to solid is called _____. 3. the change from a liquid to gas is called _________. Update: when does vaporization take place each liquid boils only at a certain temperature which is called it _________."
what is healthier tuna vs salmon,['Tuna'],['Tuna is healthier than salmon.'],"You hear all the time that to lose weight, you should track what you eat. There have been many studies that have confirmed that counting calories can help you lose weight faster than those who do not count calories at all. The reason that counting calories is so important is the education you get when it comes to knowing what is in the foods you eat."
what decent does the estelle come from,"['It is of Old French and Latin origin, and the meaning of Estelle is star. From Stella.']",['The Estelle comes from Stella.'],"It is of Old French and Latin origin, and the meaning of Estelle is star. From Stella. Literary: the Latinate form Estella is the name of a happy character in Charles Dickens' novel Great Expectations."
spinach is better for you cooked,['Cooked spinach provides higher levels of vitamin A. Spinach ranks as one of the most nutrient-dense of all foods.'],"['Yes, Spinach is better for you cooked so it provides higher levels of vitamin A.']","Both fresh and cooked spinach contain about the same amount of macronutrients in a 100-gram serving (roughly 3 1/3 cups raw or 1/2 cup cooked spinach). Both servings are about 23 calories, 3.8 g of carbohydrates, 3 g of protein, 0.3 g of fat, and a whopping 2.4 g of fiber, which is 10 percent of the daily value.ron 411: Both raw and cooked spinach are excellent sources of iron, containing twice as much as other leafy greens. A 100-gram serving of raw spinach contains 2.71 mg of iron, whereas cooked spinach contains 3.57 mg."
what else can you use other than skype,['FaceTime'],"['Other than Skype, you can use FaceTime.']","That said, Skype for iPhone and iOS devices does quite a good job limiting outgoing video in order to save bandwidth. Skype for iOS also allows you to make calls both through Wi-Fi and cellular, which is one of its biggest assets and something that FaceTime does not fully support yet. If you thought that having few options in Skype was kind of a letdown, then the amount of options on FaceTime will downright depress you. In fact, about the only choice you have is deciding which phone number or email account you would like to assign to FaceTime calls."
is hydrogen a solid or a gas,['Gas'],['Hydrogen is a gas.'],"Hydrogen is a chemical element with chemical symbol H and atomic number 1. With an atomic weight of 7000100794000000000♠1.00794 u, hydrogen is the lightest element on the periodic table. Its monatomic form (H) is the most abundant chemical substance in the universe, constituting roughly 75% of all baryonic mass. Non-remnant stars are mainly composed of hydrogen in its plasma state."
long term contract vs short term contract,['A short term contract is any contract that is started and completed within a fiscal year. A long-term contract is any contract that is started in a fiscal year and is completed in another fiscal year'],['The difference between long term contract and short term contract is a short term contract is any contract that is started and completed within a fiscal year. A long-term contract is any contract that is started in a fiscal year and is completed in another fiscal year.'],"Long-term Contracts A long-term contract is a contract that is NOT completed in the same year that it was entered into and it contracts for the manufacture, construction, installation or building of property."
inside sales representative vs outside sales representative,"['With inside sales, your sales reps visit with customers and prospects via the telephone, email, and internet.They do not leave the inside of your office, hence the name. Outside sales is where your sales representatives visit with customers and prospects at their business locations, outside of your office.']","['With inside sales, your sales reps visit with customers and prospects via the telephone, email, and internet.They do not leave the inside of your office, hence the name. Outside sales is where your sales representatives visit with customers and prospects at their business locations, outside of your office.']","Business owners and sales managers frequently debate about whether to invest in an inside sales force, an outside sale force, or some combination of the two. With inside sales, your sales reps visit with customers and prospects via the telephone, email, and internet.They do not leave the inside of your office, hence the name. Outside sales is where your sales representatives visit with customers and prospects at their business locations, outside of your office.enerally, budget drives the inside vs. outside sales force decision. Since inside sales reps incur no travel and entertainment expenses, companies with small or limited sales budgets often start with an inside sales force."
what is faster speed of light or sound,['Light travels faster than sound.'],['Speed of light is faster.'],"Light travels faster than sound. In vacuum, the speed of light is about 3.0 x 10^8 m/s while that of sound is 0 m/s (sound needs a medium to travel, hence it cannot travel through a vacuum). In air, the speed of sound is approximately 340 m/s while that of light is the same as in the previous condition."
what is less than a kilogram?,['Grams'],['Gram is less than a kilogram.'],"Grams and Kilograms: Questions. 1. Name three things that weigh less than a gram. Answers will vary. Sample answers: grain of rice, needle, leaf. 2. If you know the weight of an object in kilograms, explain how you could find the. weight in grams."
why is essay exam is effective than objective exam?,['A on an essay exam is always a lot tougher than with an objective exam.'],['Essay exam is effective than objective exam because an essay exam is always a lot tougher than with an objective exam.'],41 Suggestions For Writing Essay Test Items Agreement or Disagreement: Thestudent is being asked to assert andsupport a thesis with evidence. Analyze: Analyzing is a pickingapart of the whole. Classification and Division: Grouping items into a category ac-cording to a consistent principle.
who said none is do blind than he who refuses to see,"['Jonathan Swift', 'Angela Merkel']",['Angela Merkel said that none is do blind than he who refuses to see.'],In 1738 it was used by Jonathan Swift in his Polite Conversation and is first attested in the United States in the 1713 Works of Thomas Chalkley. The full saying is: There are none so blind as those who will not see. The most deluded people are those who choose to ignore what they already know.
what is smaller than a megabyte,['Kilobyte'],['A kilobyte is smaller than a megabyte.'],"The symbol for byte is B. Sometimes a lowercase b is used, but this use is incorrect because b is actually the IEEE symbol for bit. The IEC symbol for bit is bit. For example, MB means megabyte and Mbit means megabit."
what is the function of the superior and inferior colliculi,['Superior and inferior colliculi comprise the tectum or roof (dorsal to the cerebral aqueduct) of the mesencephalon or midbrain.'],['The function of superior and inferior colliculi comprise the tectum or roof of the mesencephalon or midbrain.'],"The superior colliculus refers to the rostral (front) bump on the lateral (side) part of the midbrain. It is, in fact, a pair of two colliculi, superior and inferior, on either side of the midbrain that together constitute the tectum.The superior colliculus is a layered, multi-sensory structure.Its upper layer receives visual signals from the retina of the eye, while the lower layers process multiple signals from various other parts of the brain. This colliculus is not restricted to a visual role alone.ovement of the eyes is also connected with the cells present in the lower layers of the colliculus. In mammals and other higher animals, the brain processes sensory inputs in correlation with the superior colliculus. In lower animals it helps to perceive any sudden movement that occurs before the retina."
why does bennett claim that jonathan edwards' morality was even worse than himmler's?,"['Because Himmler certainly had bad morality in the sense that he contributed to the extermination of the Jews by the thousands. But, his emotions towards what he was contributing to caused him to suffer between bad morality and sympathies.']","['Bennett claims that Jonathan Edwards morality was even worse than himmlers because Himmler certainly had bad morality in the sense that he contributed to the extermination of the Jews by the thousands. But, his emotions towards what he was contributing to cause him to suffer between bad morality and sympathies.']","Rather, my claim is that as the only game in town, it constitutes a narrow view of moral agency, one that fails to recognize the scope of moral judgment and that has an artifically restricted vision of what agency and autonomy consist in."
does a pharmacist get more salary than a doctor,['Yes'],"['Yes, a pharmacist gets more salary than a doctor.']","Four states paid pharmacists more than $120,000 per year on average in 2011, according to the BLS. Alaska and Maine had average annual pay of $125,330 and $125,310 respectively.California paid an average of $122,800 per year, and Vermont paid an average of $122,490 annually.tates With The Most Jobs. Five states had more than 12,000 pharmacist jobs in the 2011 BLS survey. California had 22,960 pharmacists, the largest number of any state. Texas had 20,000 pharmacists earning an average of $113,570 per year."
what kind tea is better for your immune system,['Herbal tea'],['Herbal tea  is better for your immune system.  '],"Losing a little extra baggage will not only reduce your risk of cardiovascular disease and diabetes, but also will help shape up your immune system. Researchers at Tufts University asked a group of slightly overweight people to cut 100 to 200 calories from their daily food intake."
how does entropy change when a solid melts,['The entropy increase when a solid melts to become a liquid.'],['The entropy increase when a solid melts to become a liquid.'],"Further, the ice contracts on melting (due to the greater density of water), so the atmosphere actually does work on ice when it melts to a smaller volume of water. So, work done on the system is positive. Therefore, we have a decrease in potential energy, increase in heat energy and increase in work done on the system."
greater is he that is in you than he that is in the world meaning,"['You have won the victory over these people, because the one who is in you is greater than the one who is in the world.']","['You have won the victory over these people, because the one who is in you is greater than the one who is in the world.']","So you have won the victory over these people, because the one who is in you is greater than the one who is in the world. New American Standard 1977. You are from God, little children, and have overcome them; because greater is He who is in you than he who is in the world."
blood returns from which areas of the body by way of the superior and inferior vena cava,['Heart'],['Blood returns from the heart by way of the superior and inferior vena cava.'],"Deoxygenated blood enters the right atrium through three major veins: the superior and inferior vena cava and the coronary sinus. The superior vena cava returns all of the blood to the heart from tissues superior to the heart in the head, neck, arms and upper thorax."
how long before you feel better with strep,['In five days.'],['You will feel better with strep within five days.'],"Without antibiotics, you may be contagious for two or three weeks; most people who take them, however, are no longer contagious 24 hours after the start of treatment. Other people also experience relief from the symptoms of strep once they've started taking antibiotics."
is antt better than the aseptic technique,['No'],"['No, the Aseptic Non Touch Technique is not better than the Aseptic technique.']",ABHR is the hand hygiene product of choice for all standard aseptic non-touch technique (ANTT) procedures. Surgical scrub is required for surgical ANTT. For definitions on standard vs. surgical ANTT see Section 1.7.3 of the 2010 Australian Guidelines for the Prevention and Control of Infections in Healthcare (68).ABHR is also the recommended product for the prevention of intravascular catheter related infections (74).urgical scrub is required for surgical ANTT. For definitions on standard vs. surgical ANTT see Section 1.7.3 of the 2010 Australian Guidelines for the Prevention and Control of Infections in Healthcare (68). ABHR is also the recommended product for the prevention of intravascular catheter related infections (74).
what is better than bleach for mold,['Hydrogen peroxide'],['Hydrogen peroxide is better than bleach for mold.'],"I’d go with vinegar, for general cleaning, For my health and the health of the planet, vinegar is strong enough to handle most general cleaning tasks. Use full strength vinegar and never dilute it. In fact, if you dilute it, you may be intruding contaminated water. And if vinegar doesn’t work, I use hot soapy water with baking soda. Don’t mix baking soda (basic) and vinegar (acidic) because you will neutralize the two to make water."
illusion vs allusion definition,"['Allusion is used to refer to something or someone else, illusion is used to refer to a false impression.']","['Allusion is used to refer to something or someone else, illusion is used to refer to a false impression.']","Allusion vs Illusion. What is the difference between allusion and illusion? This article compares definitions of allusion vs illusion, as well as tips and tricks on remembering when it is proper to use illusion versus allusion, and distinguishing the difference. The essay contained an allusion to Harry Houdini, widely acknowledged master of illusion."
how did lake superior form,"['As the ice sheet retreats northeastward.', 'Fire and ice, in the form of volcanoes and glaciers, created Lake Superior. One billion years ago, molten basalt erupted from the mid-continent rift, which extended from near Thunder Bay, Ontario, to Kansas.']",['Lake superior form as the ice sheet retreats northeastward.'],"Lake Superior 1  ... is the largest freshwater lake in the world by surface area and the third largest by volume (Lake Baikal in Siberia and Lake Tanganyika in East Africa contain more water). 2  could hold all the water in the other Great Lakes, plus THREE MORE Lake Eries. 11,000 years ago: Glacial Lake Duluth, the precursor to Lake Superior, forms as the ice sheet retreats northeastward. 2  The lake's torrential outflow near present-day Duluth carves the St. Croix River Valley and feeds the Mississippi River."
cooked and refrigerated food should not be left at room temperature for more than how many hours,['Two'],['Cooked and refrigerated food should not be left at room temperature for more than two hours.'],1 Keep food covered. 2  Stir hot food frequently. 3  Store utensil in food. 4  Take actual food temperature; do not rely on a thermostat setting. 5  Check temperature frequently (at least every 2 hours).  Do not use hot holding equipment to heat or reheat food.
is darkseid stronger than superman,['Yes'],"['Yes, Darkseid is stronger than Superman.']","So yes, Superman is stronger than Darkseid on a pound for pound basis. The problem is that Superman's morals get in the way of finishing him off (which I honestly do approve of since a hero who kills their opponent isn't much of a hero) and Darkseid simply has more resources to call on than Superman does.arkseid only maintained his power because his followers simply loved him too much to let anything further happen. In the second case Superman lost only after Darkseid hit him with something he'd never seen before, as such it is hard to defend against."
mexico vs panama gold cup 2015 result,['Mexico defeated Panama 2-1'],"['In 2015 Gold Cup, Mexico defeated Panama by 2-1.']","Final score and result:- Panama vs Mexico 1-2 (Torres/Guardado*2). Gold Cup 2015- 22 July, 2015- 22/7/15. Andres Guardado converts two penalties as Mexico beat Panama in extra time to set up a final meeting with Jamaica, who stunned USA in the other Gold Cup Semifinal. 6:36 duration, Dailymotion, English commentary."
what is a cooler beverage at dunkin donuts,"['Iced or hot coffee, tea, latte, hot chocolate, or Coolatta.']","['Iced or hot coffee, tea, latte, hot chocolate, or Colette is a cool beverage at Dunkin donuts.']","Your free medium beverage of choice includes any iced or hot coffee, tea, latte, hot chocolate, or Coolatta. All cooler beverages are excluded. You’ll also enjoy exclusive offers, the inside scoop on special happenings, member perks, and more. Enroll in Dunkin’ Perks now to get your free beverages."
what is faster usb or ethernet,['Usb'],['Universal Serial Bus is faster than Ethernet.'],"Although, Firewire 400 and 800 are faster than previous USB technologies (not including 3.0). Firewire is rated at 3Gbps (400) and 6Gbps (800). Ethernet is a connection type that is used mainly for networking, so it is not designed to be super fast."
where is the inferior vena cava? quizlet,['No Answer Present.'],['The inferior vena cava is in the right atrium of the heart.'],"Vena cava: The superior vena cava is the large vein which returns blood to the heart from the head, neck and both upper limbs.The inferior vena cava returns blood to the heart from the lower part of the body.The return of blood via the vena cava can be compromised and cause disease.or example, in the superior vena cava syndrome, the symptoms that result from compression of the large vein that carries blood down to the heart. The superior vena cava is located in the middle of the chest and is surrounded by rigid structures and lymph nodes."
which electromagnetic wave has wavelengths just longer than visible light?,"['Microwaves and radio waves', 'Infra-red']",['Infra-red waves has longer wavelengths than visible light.  '],"Infrared light, microwaves and radio waves have wavelengths longer than visible light. Radio waves have the longest wavelength."
who won brother vs brother,['Jonathan Scott'],['The winner of Brother vs. Brother is Jonathan Scott.'],"View full sizeDrew Scott, left, and Jonathan Scott chose the winner of Brother Vs. Brother during last night's finale.HGTV. Interior designer and Team Drew member Melissa Roche emerged as the $50,000 winner of the second season of Brother Vs. Brother in last night's finale. But the big decision, coming at the end of a season that didn't give viewers anyone to root for or against, was more meh than amazing."
what is us economic output vs china,"['The U.S. economy represents about 20% of total global output, and is still larger than that of China.']","['The U.S. economy represents about 20% of total global output, and is still larger than that of China.']","United States Economy Overview. Despite facing challenges at the domestic level along with a rapidly transforming global landscape, the U.S. economy is still the largest and most important in the world. The U.S. economy represents about 20% of total global output, and is still larger than that of China."
what type of crystalline solid is alcl3,['Amorphous'],['Amorphous is a type of crystalline solid is Aluminum trichloride.'],"Sodium chloride crystal lattice. The lattice energy of a crystalline solid is usually defined as the energy of formation of the crystal from infinitely-separated ions, molecules, or atoms, and as such is invariably negative.ome older textbooks define lattice energy with the opposite sign, i.e. the energy required to convert the crystal into infinitely separated gaseous ions, atoms, or molecules in vacuum, an endothermic process. Following this convention, the lattice energy of NaCl would be +786 kJ/mol."
when was brown vs education,"['In 1954', '1954']","['Brown v. Education was in 1954.', 'Brown versus Board of Education was in 1954 and 1955.', 'Brown versus education took place in 1954 and 1955.', 'Brown versus education was in 1954 and 1955.', 'Brown vs Board of Education was between 1954 and 1955.  ', 'Brown vs Education is in 1954 and 1955.', 'Brown vs Education was between 1954 and 1955.', 'Brown vs Education was in 1954 to 1955.', 'The name Curiel comes from the United States.', 'Brown V. Board of Education, 1954 and 1955.', 'Brown VS Education was 1954 to 1955.', 'Brown Vs Board of Education was in 1954 and 1955.  ', 'Brown Vs Education was in 1954, and 1955.', 'Brown v. Board of Education was in 1954 and 1955.', 'Brown vs Education was between the year 1954 and 1955.', 'Brown vs Education was fro 1954 to 1955.', 'Brown vs Education was from 1954 to 1955.', 'Brown vs Education was from the year of 1954 to 1955.', 'Brown vs Education was in 1954 and 1955.', 'Brown vs Education was in 1954, 1955.', 'Brown vs Education was in 1954, and 1955.  ', 'Brown vs Education was in between 1954 and 1955.', 'Brown vs education is in 1954 and 1955.', 'Brown vs education was from 1954 to 1955.', 'Brown vs education was in 1954 and 1955.', 'Brown vs education was in 1954 or 1955.', 'Brown vs education was in 1954 to 1955.', 'The Brown v. Board of Education was in 1954 to 1955.', 'The Brown versus Board of Education was in 1954 and 1955.', 'The Brown vs Education was in 1954 and 1955.', 'The brown vs education was from 1954 to 1955.', 'The brown vs education was from 1954 to1955.']","The District Court ruled in favor of the Board of Education, citing the U.S. Supreme Court precedent set in Plessy v. Ferguson, 163 U.S. 537 (1896), which had upheld a state law requiring separate but equal segregated facilities for blacks and whites in railway cars."
does paranoid personality disorder get worse with age,['No'],"['No, paranoid personality disorder does not get worse with age.']","June 28, 2002 -- The textbooks say people with personality disorders don't change without help. But now it looks as though some problem personalities mellow with age while others get worse.If you have a personality disorder, you probably don't know it.You know you have trouble forming stable relationships.Your work and personal life suffer.ut now it looks as though some problem personalities mellow with age while others get worse. If you have a personality disorder, you probably don't know it. You know you have trouble forming stable relationships. Your work and personal life suffer."
what year did the us mint stop making solid silver coins,['1964'],"['In 1964, the US mint stopped making solid silver coins.', 'The United States Mint stopped making solid silver coins in 1964.']","America the Beautiful Quarters 2015 Silver Proof Set. Your quantity has been reduced to 0, due to product limit within single purchase. Your quantity has been reduced to 0, due to product limit within single purchase."
how much higher is rmr than bmr,"['RMR is slightly higher than BMR, but the difference is less than 10 percent, according to the National Research Council.']","['Resting Metabolic Rate is less than 10 percent higher than Basal Metabolic Rate.', 'Resting Metabolic Rate is less than 10 percent higher than Basal Metabolic Rate according to the National Research Council.']","When comparing calorie estimations, RMR is slightly higher than BMR, but the difference is less than 10 percent, according to the National Research Council. While both RMR and BMR are considered estimations of your calorie needs, BMR is a more accurate measure because of the stricter procedures required to obtain it.hat's Measured. Both BMR, and RMR, estimate the number of calories you burn at rest, but RMR takes additional factors into consideration when determining needs. BMR measures your basal energy expenditure, or BEE."
measure to determine how much longer one object is than another,"['Measure to determine how much longer one object is than another, expressing the length difference in terms of a standard length unit.']","['Measure to determine how much longer one object is than another, expressing the length difference in terms of a standard length unit.']",16 ) Express the length of an object as a whole number of length units by laying multiple copies of a shorter object (the length unit) end to end; understand that the length measurement of an object is the number of same-size length units that span it with no gaps or overlaps.
how much longer is a meter than a foot,['1 foot is 0.3048 meters.'],['1 foot is 0.3048 meters.'],"How to convert feet to meters. 1 foot is 0.3048 meters. To convert feet to meters multiply your figure by 0.3048. Should you wish to convert from feet to meters in your head, divide the figure by 3 for a very rough approximation. There are approximately 39.37 inches in 1 meter. To convert meters to inches multiply your figure by 39.37."
how do you put binding on angles greater than 90 degrees,['An obtuse triangle will always have one angle whose measure is greater than 90 degrees but at the same time less than 180 degrees.'],['An obtuse triangle will always have one angle whose measure is greater than 90 degrees but at the same time less than 180 degrees.'],"Types of Triangle by Angle. In an equiangular triangle, all the angles are equal—each one measures 60 degrees. An equiangular triangle is a kind of acute triangle, and is always equilateral. In a right triangle, one of the angles is a right angle—an angle of 90 degrees. A right triangle may be isosceles or scalene.In an obtuse triangle, one angle is greater than a right angle—it is more than 90 degrees.An obtuse triangle may be isosceles or scalene. In an acute triangle, all angles are less than right angles—each one is less than 90 degrees. An acute triangle may be equilateral, isosceles, or scalene.ypes of Triangle by Angle. In an equiangular triangle, all the angles are equal—each one measures 60 degrees. An equiangular triangle is a kind of acute triangle, and is always equilateral. In a right triangle, one of the angles is a right angle—an angle of 90 degrees. A right triangle may be isosceles or scalene."
Gram positive vs gram negative,"['Gram positive bacteria have a single thick cell wall made of peptidoglycan (50-90% of cell wall). This thick wall stains purple and remains purple throughout the gram staining test. Gram negative bacteria have a thinner layer of peptidoglycan (10% of cell wall), and an additional outer membrane which contains lipids.']","['Gram positive bacteria have a single thick cell wall made of peptidoglycan, which is 50 to 90% of cell wall. This thick wall stains purple and remains purple throughout the gram staining test. Gram negative bacteria have a thinner layer of peptidoglycan, which is 10% of cell wall and an additional outer membrane which contains lipids.']","Gram Positive vs Gram Negative Bacteria. Both Gram positive and Gram negative bacteria have their own kind of cell walls and they can be checked in the medical laboratories. As the names imply the gram positive and the Gram negative bacteria refers to the two different types of bacteria. Both have different features.ifference between gram positive and gram negative bacteria. The main difference between the two forms of bacteria is between the cell walls of the two. The positive one, as mentioned above has a thick protected surrounding while the other has an inner layer of membrane."
how many days to feel better on antibiotics for strep throat,['10 days'],['It takes 10 days to feel better on antibiotics for a strep throat.'],"Antibiotics should be taken for 10 days, even though symptoms are usually gone after a few days. The following tips may help your sore throat feel better: 1  Drink warm liquids such as lemon tea or tea with honey. 2  Gargle several times a day with warm salt water (1/2 tsp of salt in 1 cup water)."
cost of death penalty vs life in prison,"['Death penalty case is $2.3 million vs. $750,000 for life in prison.']","['Death penalty case is $2.3 million vs. $750,000 for life in prison.']","The average cost of a Texas death penalty case is $2.3 million vs. $750,000 for life in prison. The high cost of the death penalty begins with the original trial. questioned about their views on the death penalty and be willing to impose it. non-death penalty capital murder trial can be completed in a couple of days."
how soon do puppies start eating solid food,['Four weeks'],['Puppies start eating solid food when they are four weeks old.'],"Start introducing puppies to puppy food at the age of 3.5 weeks. This allows you to gradually transition them from their mother's milk to solid puppy food. By the time they are independent at 8 weeks old, they should be eating solid food."
how many days after wisdom teeth removed to eat solid foods,['At least a week'],['At least a week after wisdom teeth removed to eat solid foods.'],"Wisdom teeth extraction limits your diet the most during the first 48 hours after surgery. After the first couple of days, you can begin to eat solid foods, but for at least a week, you will still want to avoid any type of food that can get lodged in the surgical site."
